incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
Drum Fire,Y,2019-07-09T13:53:15Z,2017-12-16T12:21:00Z,Santa Barbara County Fire,,Santa Barbara,"off Drum Canyon Rd, south of Los Alamos",14,100,,Santa Barbara County Fire,-120.27077,34.71796,Wildfire,64779f92-8353-4187-ae56-2b83eb66d7ca,https://www.fire.ca.gov/incidents/2017/12/16/drum-fire/,2018-01-09T13:49:00Z,2018-01-09,2017-12-16,N,TRUE,FALSE
Holiday Fire,Y,2019-07-09T13:54:06Z,2017-12-28T20:51:00Z,Bureau of Indian Affairs,,El Dorado,"off Hwy 395, south of Gardnerville in Nevada",80,100,,Bureau of Indian Affairs,-119.61865,38.869036,Wildfire,d20645f2-81b9-450f-abc1-433b81bd7fea,https://www.fire.ca.gov/incidents/2017/12/28/holiday-fire/,2018-01-09T13:49:00Z,2018-01-09,2017-12-28,N,FALSE,FALSE
Coast Fire,Y,2019-07-09T13:54:48Z,2017-12-14T12:59:00Z,Santa Barbara County Fire,,Santa Barbara,"off the 3500 Block of Highway 1, south east of Lompoc",14,100,,Santa Barbara County Fire,-120.414875,34.605358,Wildfire,2fa6f5ce-1c5b-4147-9f1f-9beb01c499af,https://www.fire.ca.gov/incidents/2017/12/14/coast-fire/,2018-01-09T13:49:00Z,2018-01-09,2017-12-14,N,TRUE,FALSE
Sargent Fire,Y,2019-07-10T16:05:08Z,2019-07-09T21:43:36Z,CAL FIRE San Benito-Monterey Unit,,Monterey,"Sargent Canyon Road and Sheep Canyon, San Ardo Oil Fields",190,100,,,-120.8092,35.95191,Wildfire,f32eaf92-82dc-4c31-8a05-76c21845f078,https://www.fire.ca.gov/incidents/2019/7/9/sargent-fire/,2019-07-10T16:04:00Z,2019-07-10,2019-07-09,N,TRUE,FALSE
Gibbel Fire ,Y,2019-07-12T08:27:20Z,2019-07-11T16:27:17Z,CAL FIRE Riverside County Fire Department ,,Riverside,Off of Girard Street and Quiet Hills Drive ,20,100,,CAL FIRE Riverside County Fire Department ,-116.953889,33.69055556,Wildfire,6564081d-5ce7-4330-8ad7-2d1d976d778a,https://www.fire.ca.gov/incidents/2019/7/11/gibbel-fire/,2019-07-11T08:26:00Z,2019-07-11,2019-07-11,N,TRUE,FALSE
Orange fire,Y,2019-07-15T18:33:50Z,2019-07-13T10:36:00Z,CAL FIRE / Riverside County Fire,,Riverside,27000 block of Orange Avenue in Nuevo,96,100,,,-117.1228851,33.8128372,Wildfire,777caabb-3850-4db2-ba02-2d95fda38db6,https://www.fire.ca.gov/incidents/2019/7/13/orange-fire/,2019-07-13T15:13:00Z,2019-07-13,2019-07-13,N,TRUE,FALSE
Lake Fire,Y,2019-07-15T18:34:14Z,2019-07-08T15:30:14Z,CAL FIRE Madera-Mariposa-Merced Unit,,Mariposa,"McSwain Entrance and Lake McClure Rd, Hornitos",244,100,,,-120.296551,37.524378,Wildfire,6be8378d-9a89-40a3-bc66-4fc0ab22ebc2,https://www.fire.ca.gov/incidents/2019/7/8/lake-fire/,,,2019-07-08,N,TRUE,FALSE
Mid Fire,Y,2019-07-15T18:38:20Z,2019-07-12T18:40:09Z,CAL FIRE SCU,,Alameda,"patterson pass and mid way, eastern",22,100,,Alameda County ,-121.586846,37.093243,Wildfire,3fc9ae75-8844-43a5-8330-6956cdb6e3a7,https://www.fire.ca.gov/incidents/2019/7/12/mid-fire/,2019-07-12T19:20:00Z,2019-07-12,2019-07-12,N,TRUE,FALSE
Aborn Fire,Y,2019-07-15T21:55:31Z,2019-07-15T11:12:00Z,CAL FIRE Santa Clara Unit ,,Santa Clara,"Off Aborn Road and Murillo Avenue, East San Jose ",47,100,,,-121.76444444,37.32555556,Wildfire,42dab7c3-458f-4838-b70f-d5bb3d0f0b80,https://www.fire.ca.gov/incidents/2019/7/15/aborn-fire/,2019-07-15T18:19:00Z,2019-07-15,2019-07-15,N,TRUE,FALSE
South Fire ,Y,2019-07-15T21:55:43Z,2019-07-14T11:45:00Z,CAL FIRE San Luis Obispo ,,Ventura,Off of South Mountain Rd and Balcom Canyon Road East of Santa Paula,131,100,,Ventura County Fire Department ,-118.96,34.366111,Wildfire,c1574fd4-92ca-400f-84cb-b10f18ebb4bd,https://www.fire.ca.gov/incidents/2019/7/14/south-fire/,2019-07-15T14:10:00Z,2019-07-15,2019-07-14,N,TRUE,FALSE
Border Fire,Y,2019-07-15T21:56:00Z,2019-07-12T13:20:39Z,CAL FIRE San Diego County Fire ,,San Diego,Off of Cottonwood Creak and Barrett Truck Trail along the US/Mexico border,100,100,,,-116.7525,32.566389,Wildfire,8c46fde6-7a1c-482b-97cc-afff1bc5d27c,https://www.fire.ca.gov/incidents/2019/7/12/border-fire/,2019-07-15T17:10:00Z,2019-07-15,2019-07-12,N,TRUE,FALSE
Horse Fire,Y,2019-07-15T21:56:18Z,2019-07-12T19:08:54Z,CAL FIRE Shasta-Trinity Unit,,Shasta,"Blue Horse Rd and Saddle Trail, 2 miles NW of Olinda",30,100,,,-122.435492,40.463936,Wildfire,ab6d9c8e-5fbb-4a0d-a206-30e83ab51877,https://www.fire.ca.gov/incidents/2019/7/12/horse-fire/,,,2019-07-12,N,TRUE,FALSE
Milton Fire ,Y,2019-07-16T14:08:35Z,2019-07-15T10:49:00Z,CAL FIRE Tuolumne-Calaveras Unit ,,Stanislaus,"Off of Milton Road and Highway 4, North of Oakdale",202,100,,,-120.84372,37.944751,Wildfire,a03c52ec-7366-43c5-965e-52e2b73df452,https://www.fire.ca.gov/incidents/2019/7/15/milton-fire/,2019-07-16T06:48:00Z,2019-07-16,2019-07-15,N,TRUE,FALSE
Madera Fire ,Y,2019-07-16T14:08:48Z,2019-07-15T18:19:31Z,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,"Off Road 33 and Highway 145, Bonadelle",213,100,,,-119.934167,37.016944,Wildfire,f2629bc3-1c8c-4a97-95fa-7d08566dc246,https://www.fire.ca.gov/incidents/2019/7/15/madera-fire/,2019-07-16T06:49:00Z,2019-07-16,2019-07-15,N,TRUE,FALSE
Lincoln Fire,Y,2019-07-17T14:04:28Z,2019-07-12T17:15:31Z,CAL FIRE Riverside Unit,,Riverside,"Lincoln St and Ave 66, Mecca, 6 miles south of Coachella",80,100,,,-116.07896,33.56938,Wildfire,6311a921-f8e9-45c1-b10d-fee8be8dae29,https://www.fire.ca.gov/incidents/2019/7/12/lincoln-fire/,2019-07-17T10:00:00Z,2019-07-17,2019-07-12,N,TRUE,FALSE
Meadow Fire,Y,2019-07-18T06:37:29Z,2019-07-16T13:45:43Z,CAL FIRE / Riverside County Fire,,Riverside,Highway 371 near Lake Riverside Drive,81,100,,CAL FIRE / Riverside County Fire,-116.7884,33.514658,Wildfire,72384606-035c-4d00-8887-84a9da7d0e57,https://www.fire.ca.gov/incidents/2019/7/16/meadow-fire/,2019-07-17T21:29:00Z,2019-07-17,2019-07-16,N,TRUE,FALSE
Whiskey Fire,Y,2019-07-18T06:37:51Z,2019-07-16T18:44:15Z,CAL FIRE Santa Clara Unit,,San Joaquin,"west Lower Jones Road, west of the Community of Slough ",90,100,,,-121.468074,37.962557,Wildfire,12528e0f-03e0-4598-8df0-e3017fa7382a,https://www.fire.ca.gov/incidents/2019/7/16/whiskey-fire/,,,2019-07-16,N,TRUE,FALSE
Rains Fire,Y,2019-07-18T13:02:21Z,2019-07-18T09:07:57Z,CAL FIRE Santa Clara Unit,,Stanislaus,"Frank Raines Park on Del Puerto Canyon Road, west of Patterson",35,100,,,-121.371276,37.420988,Wildfire,900997e0-f30a-48bf-9358-971ca2afa1d6,https://www.fire.ca.gov/incidents/2019/7/18/rains-fire/,2019-07-18T10:29:00Z,2019-07-18,2019-07-18,N,TRUE,FALSE
Vista Fire,Y,2019-07-18T15:58:48Z,2019-07-17T17:42:04Z,CAL FIRE / San Diego County Fire,,San Diego,Off Vista De La Montana in the Dehesa area,25,100,The forward spread has been stopped and firefighters continue to make good progress. All evacuation warnings have been lifted. Full containment expected later today.,,-116.839743,32.794768,Wildfire,06fa2750-afea-4f88-b1c4-48b9bc21f4eb,https://www.fire.ca.gov/incidents/2019/7/17/vista-fire/,2019-07-18T15:58:00Z,2019-07-18,2019-07-17,N,TRUE,FALSE
Whiskey Fire,Y,2019-07-20T08:56:09Z,2019-07-18T18:31:00Z,CAL FIRE Tuolumne-Calaveras Unit,,Calaveras,near the Whiskey Creek Day Use area of New Hogan Lake,27,100,,,-120.78068,38.115224,Wildfire,17596a7a-31fc-4270-8aaf-efe1df3ba848,https://www.fire.ca.gov/incidents/2019/7/18/whiskey-fire/,2019-07-20T08:56:00Z,2019-07-20,2019-07-18,N,TRUE,FALSE
Thompson Fire ,Y,2019-07-25T08:10:47Z,2019-07-24T20:09:59Z,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,"Off Highway 166  and Highway 101, North of Santa Maria",95,100,,,-120.435278,35.004722,Wildfire,63b69be6-bd39-4bb4-aee1-7b59dbf7c360,https://www.fire.ca.gov/incidents/2019/7/24/thompson-fire/,,,2019-07-24,N,TRUE,FALSE
Valley Fire,Y,2019-07-25T18:59:33Z,2019-07-21T12:01:40Z,CAL FIRE Madera-Mariposa-Merced Unit,,Mariposa," Old Hwy and Guadalupe, East of Mariposa",149,100,,,-120.027731,37.241427,Wildfire,f8a2fd4a-286e-4688-8a5c-fa2ad98751ab,https://www.fire.ca.gov/incidents/2019/7/21/valley-fire/,,,2019-07-21,N,TRUE,FALSE
Tejon Fire,Y,2019-07-25T18:59:49Z,2019-07-21T15:30:17Z,Kern County Fire Department,,Kern,"I 5 and Diger Rd, South of Bakersfield",208,100,,,-118.9183333,34.9008333,Wildfire,49dbe286-1cfe-4e03-a872-13185aae767a,https://www.fire.ca.gov/incidents/2019/7/21/tejon-fire/,,,2019-07-21,N,FALSE,FALSE
Moms Fire ,Y,2019-07-25T18:59:59Z,2019-07-23T14:41:00Z,CAL FIRE Butte County Fire Department ,,Butte,"Off Moms Lane and Lone Tree Road, South of Orville ",10,100,,,-121.579738,39.423833,Wildfire,7955a367-99da-4047-9f69-cc60ad3208e6,https://www.fire.ca.gov/incidents/2019/7/23/moms-fire/,,,2019-07-23,N,TRUE,FALSE
Milpas Fire,Y,2019-07-25T19:00:48Z,2019-07-22T19:45:27Z,CAL FIRE San Bernardino Unit,,San Bernardino,"Milpas Rd and Valley View Rd, 10 miles SE of Apple Valley",81,100,,,-117.10318,34.42386,Wildfire,9e6b72f0-5f8a-41fe-a60d-40d7bc2f5637,https://www.fire.ca.gov/incidents/2019/7/22/milpas-fire/,,,2019-07-22,N,TRUE,FALSE
Star Fire,Y,2019-08-01T19:19:30Z,2019-07-28T13:20:11Z,City of Chino ,,San Bernardino,"Chino Hils Parkway and Grand Avenue, Chino Hills",156,100,,,-117.769766,33.997528,Wildfire,d79e71f2-d827-465d-95a8-d80b6e54456e,https://www.fire.ca.gov/incidents/2019/7/28/star-fire/,,,2019-07-28,N,FALSE,FALSE
Carson Fire,Y,2019-08-02T12:57:57Z,2019-07-30T19:27:46Z,CAL FIRE Amador-El Dorado Unit,,El Dorado,"Northeast of Placerville in the community of Camino, off of Shadow Ridge Road",13,100,,,-120.75664,38.757636,Wildfire,6ac64fee-1420-420c-bff1-1d4908b059be,https://www.fire.ca.gov/incidents/2019/7/30/carson-fire/,2019-07-31T06:47:00Z,2019-07-31,2019-07-30,N,TRUE,FALSE
Dehesa Fire,Y,2019-08-02T12:58:11Z,2019-07-28T19:51:55Z,CAL FIRE San Diego Unit,,San Diego,"Dehesa Road and Slone Canyon Road, Dehesa",150,100,,,-116.796032,32.767649,Wildfire,5a633180-7b70-4fb6-b859-b5826775b5fc,https://www.fire.ca.gov/incidents/2019/7/28/dehesa-fire/,,,2019-07-28,N,TRUE,FALSE
Sweigert Fire ,Y,2019-08-02T12:58:20Z,2019-07-24T20:01:44Z,CAL FIRE Santa Clara Unit ,,Santa Clara,"Off of Kahler Court and Felter Road, East of Milpitas",80,100,,,-121.807258,37.433192,Wildfire,a8c2bf1e-bb0f-4eec-a435-36d7723dfda6,https://www.fire.ca.gov/incidents/2019/7/24/sweigert-fire/,,,2019-07-24,N,TRUE,FALSE
Marshview Fire,Y,2019-08-02T12:58:33Z,2019-07-24T12:28:45Z,CAL FIRE Sonoma Lake Napa Unit,,Solano,"Off Marshview Road and Highway 680, South of Cordelia",183,100,,,-122.118889,38.158333,Wildfire,f0577ec6-5504-4460-83ce-d9bd91624e0a,https://www.fire.ca.gov/incidents/2019/7/24/marshview-fire/,,,2019-07-24,N,TRUE,FALSE
Canyon Fire,Y,2019-08-02T12:58:46Z,2019-07-22T15:05:34Z,CAL FIRE Sonoma-Lake-Napa Unit,,Napa,Hwy 128 and Wragg Canyon Rd 16 miles east of St. Helena,64,100,,Napa County Sheriff Department,-122.143942,38.481258,Wildfire,26676376-4e61-4d68-a28f-5fd8b4501acd,https://www.fire.ca.gov/incidents/2019/7/22/canyon-fire/,,,2019-07-22,N,TRUE,FALSE
Prairie Fire ,Y,2019-08-02T21:41:13Z,2019-08-02T14:45:00Z,CAL FIRE Amador-El Dorado Unit,,Sacramento,off White Rock Road and Prairie City Road ,50,100,,,-121.114095,38.622058,Wildfire,a0d95805-48db-467e-8dd5-db761eb5ae74,https://www.fire.ca.gov/incidents/2019/8/2/prairie-fire/,2019-08-02T17:00:00Z,2019-08-02,2019-08-02,N,TRUE,FALSE
Browns Fire,Y,2019-08-02T21:42:25Z,2019-08-02T09:23:00Z,CAL FIRE Amador El Dorado Unit ,,Sacramento,"Off Twin Cities Road and Clay Station Road, Northeast of Herald ",84,100,,,-121.123611,38.3525,Wildfire,12e44df4-d425-4f09-96b9-25256ffbdcb2,https://www.fire.ca.gov/incidents/2019/8/2/browns-fire/,2019-08-02T14:03:00Z,2019-08-02,2019-08-02,N,TRUE,FALSE
Mesa Fire ,Y,2019-08-05T09:09:51Z,2019-07-31T17:13:53Z,Kern County Fire Department,,Kern,"near Quail Dr and Bobcat Dr in the Kern River Valley, South of Lake Isabela",448,100,,Kern County Fire Department ,-118.41204,35.60989,Wildfire,1f0d1a35-bf41-45d8-b3b8-26cca8d2d83e,https://www.fire.ca.gov/incidents/2019/7/31/mesa-fire/,,,2019-07-31,N,FALSE,FALSE
Toro Fire ,Y,2019-08-06T18:42:43Z,2019-08-05T15:36:23Z,CAL FIRE Riverside County Fire Department ,,Riverside,"26000 Block El Toro Road, North of Lake Elsinore",94,100,,Riverside County Fire Department ,-117.333728,33.740219,Wildfire,0089d3c4-c554-46e1-8eb9-af95e4dfae0c,https://www.fire.ca.gov/incidents/2019/8/5/toro-fire/,2019-08-06T18:42:00Z,2019-08-06,2019-08-05,N,TRUE,FALSE
Caliente Fire,Y,2019-08-06T18:43:17Z,2019-08-05T13:56:02Z,Kern County Fire Department ,,Kern,"Caliente Bodfish Rd, east of Bakersfield",29,100,,Kern County Fire Department ,-118.623651,35.287373,Wildfire,fbe088d0-2a17-4d04-aac7-0e32ac8a1ef7,https://www.fire.ca.gov/incidents/2019/8/5/caliente-fire/,2019-08-06T18:43:00Z,2019-08-06,2019-08-05,N,FALSE,FALSE
Gilbert Fire,Y,2019-08-06T18:43:46Z,2019-08-04T17:18:21Z,CAL FIRE Shasta-Trinity Unit,,Shasta,"Highway 44 and Gilbert Drive, Palo Cedro, East of Redding",30,100,,,-122.25409,40.55924,Wildfire,0f3326bd-4a0f-4351-b978-38eb29f4d490,https://www.fire.ca.gov/incidents/2019/8/4/gilbert-fire/,,,2019-08-04,N,TRUE,FALSE
W1 McDonald Fire,Y,2019-08-12T11:36:27Z,2019-08-08T18:42:41Z,USFS Lassen National Forest,,Lassen,"Cold Springs Rd and McDonald Peak, 11 miles southeast of Madeline",1020,100,"Final acreage: 1,020 (829 acres BLM and 191 Private).","USFS Lassen National Forest, BLM Northern California District - Susanville",-120.275298,40.943799,Wildfire,94cdd032-ea04-4713-b54a-dc3476635684,https://www.fire.ca.gov/incidents/2019/8/8/w1-mcdonald-fire/,2019-08-11T11:35:00Z,2019-08-11,2019-08-08,N,FALSE,FALSE
Harte Fire,Y,2019-08-12T12:18:17Z,2019-08-09T15:09:50Z,CAL FIRE SCU,,Alameda,"Central Pkwy and Croak Rd, 4 miles east of Dublin",240,100,,Alameda County Fire,-121.841879,37.708743,Wildfire,4affde91-31a9-4588-bf14-7201fc5c548b,https://www.fire.ca.gov/incidents/2019/8/9/harte-fire/,,,2019-08-09,N,FALSE,FALSE
Preston Fire,Y,2019-08-12T15:06:18Z,2019-08-08T16:16:40Z,CAL FIRE TCU,,Tuolumne,"10,000 Block Preston Lane, Jamestown",21,100,Forward progress stopped.,,-120.420058,37.949747,Wildfire,3e020c0d-e35b-4e01-96b7-a3c8e40fd281,https://www.fire.ca.gov/incidents/2019/8/8/preston-fire/,2019-08-08T17:12:00Z,2019-08-08,2019-08-08,N,TRUE,FALSE
Heavy Range Fire,Y,2019-08-12T15:08:30Z,2019-08-10T18:47:02Z,Beale Air Force Base,,Yolo,"Hammonton Smartsville Rd. and Kendal Rd, Beale Air Force Base",33,100,,,-121.423281,39.171091,Wildfire,f044a406-06ab-457d-8a93-c52bb1930604,https://www.fire.ca.gov/incidents/2019/8/10/heavy-range-fire/,2019-08-10T15:07:00Z,2019-08-10,2019-08-10,N,FALSE,FALSE
Radio Fire,Y,2019-08-13T08:23:01Z,2019-08-12T10:53:10Z,CAL FIRE/Riverside County Fire Department,,Riverside,David Mountain Radio Road at David Mountain Road in Beaumont,20,100,,CAL FIRE / Riverside County Fire,-117.004667,33.909792,Wildfire,073d3328-3d8c-459a-8ac8-5dc6095511ec,https://www.fire.ca.gov/incidents/2019/8/12/radio-fire/,2019-08-12T08:21:00Z,2019-08-12,2019-08-12,N,TRUE,FALSE
Greenstone Fire ,Y,2019-08-15T09:57:06Z,2019-08-14T16:07:49Z,CAL FIRE Amador El Dorado Unit ,,El Dorado,Off of Greenstone Road and Buck Mountain Road ,16,100,Fire fighters have made great progress and gained full containment of the fire. Fire crews will continue to patrol the area and mop up any hot spots throughout the evening. Total acreage reduced to 16 due to more accurate mapping.,,-120.890556,38.703889,Wildfire,22c3cb30-55b1-4fcd-9606-6a0dcedce4ef,https://www.fire.ca.gov/incidents/2019/8/14/greenstone-fire/,2019-08-14T18:52:00Z,2019-08-14,2019-08-14,N,TRUE,FALSE
Spring Fire ,Y,2019-08-15T10:10:44Z,2019-08-14T12:52:00Z,CAL FIRE Sonoma Lake Napa Unit & William Fire Department ,,Colusa,Off of Spring Valley Road and Highway 20,20,100,"Crews arrived to a vegetation fire approximately three acres in size. Some hazards in the path of the fire were straw bales and several bee boxes. Quick response from air tankers and firefighters saved both from any damage as well as any structures or infrastructure. The fire was held to 20 acres, no injuries were reported.",,-122.309167,39.088333,Wildfire,f2a78d1c-66be-40f8-a2d8-5756eb265162,https://www.fire.ca.gov/incidents/2019/8/14/spring-fire/,2019-08-14T18:51:00Z,2019-08-14,2019-08-14,N,TRUE,FALSE
West Fire ,Y,2019-08-17T08:07:05Z,2019-08-13T14:37:54Z,CAL FIRE Los Angeles County Fire Department ,,Los Angeles,"off of 120th Street  West and Coppermill Road, Lancaster",105,100,,Los Angeles County Fire Department ,-118.342239,34.675542,Wildfire,eb975e90-a689-40fc-8f44-b13c774de0e8,https://www.fire.ca.gov/incidents/2019/8/13/west-fire/,,,2019-08-13,N,TRUE,FALSE
Patterson Fire,Y,2019-08-17T10:36:30Z,2019-08-15T17:47:43Z,CAL FIRE Amador-El Dorado Unit,,El Dorado,"Patterson Drive, south of Placerville",35,100,All evacuation orders have been lifted.,,-120.826165,38.652475,Wildfire,2760040b-e17b-430f-b581-a81694b450ac,https://www.fire.ca.gov/incidents/2019/8/15/patterson-fire/,2019-08-16T10:35:00Z,2019-08-16,2019-08-15,N,TRUE,FALSE
Bayliss Fire,Y,2019-08-17T10:36:50Z,2019-08-15T13:44:02Z,Unified command: CAL FIRE Santa Clara Unit and San Jose Fire Department,,Santa Clara,"Santa Teresa Blvd and Bayliss Drive, South San Jose",60,100,,,-121.761974,37.219717,Wildfire,0deca389-4481-4d91-8765-40caba3ea31c,https://www.fire.ca.gov/incidents/2019/8/15/bayliss-fire/,,,2019-08-15,N,TRUE,FALSE
Timm Fire ,Y,2019-08-17T18:37:44Z,2019-08-13T15:41:24Z,CAL FIRE Sonoma Lake Napa Unit,,Solano,"Off of Timm Road and Allendale Road, South of Winters ",81,100,,,-121.969167,38.455,Wildfire,ce97fe6d-a635-45f1-bc18-cdd1698673c2,https://www.fire.ca.gov/incidents/2019/8/13/timm-fire/,2019-08-13T18:00:00Z,2019-08-13,2019-08-13,N,TRUE,FALSE
Golf Fire,Y,2019-08-17T18:37:59Z,2019-08-08T14:55:59Z,CAL FIRE Sonoma-Lake-Napa Unit,,Lake,"Soda Bay Road and Golf Drive, northwest of Clearlake",20,100,Cause: Improperly discarded cigarette,,-122.7751,38.99174,Wildfire,280f9652-7843-4275-9016-b95296fbf571,https://www.fire.ca.gov/incidents/2019/8/8/golf-fire/,2019-08-11T10:28:00Z,2019-08-11,2019-08-08,N,TRUE,FALSE
Lower Fire,Y,2019-08-17T18:38:18Z,2019-08-12T14:16:53Z,CAL FIRE Shasta-Trinity Unit,,Shasta,Gas Point Rd & Lower Gas Point Rd in Igo,46,100,Forward spread stopped.,CAL FIRE Shasta-Trinity Unit,-122.54364,40.46968,Wildfire,618ca03c-28fd-4d66-abf3-d065d72d8cb4,https://www.fire.ca.gov/incidents/2019/8/12/lower-fire/,2019-08-13T16:15:00Z,2019-08-13,2019-08-12,N,TRUE,FALSE
Border 9 Fire,Y,2019-08-17T21:36:51Z,2019-08-15T16:24:24Z,CAL FIRE San Diego County Fire,,San Diego,"Off of Marron Valley Road and Border Road, Southeast of Dulzura  ",80,100,,,-116.760465,32.57394,Wildfire,e094035d-ac9c-4ea9-a23b-bb55321a64d6,https://www.fire.ca.gov/incidents/2019/8/15/border-9-fire/,2019-08-16T18:44:00Z,2019-08-16,2019-08-15,N,TRUE,FALSE
Border 8 Fire,Y,2019-08-18T07:10:06Z,2019-08-16T06:14:55Z,Unified Command: CAL FIRE and Mexican Fire Agency Consulate Emergency Services Fire Department,,Mexico,"City of Tecate, southeast of San Diego ",1507,100,"Threat to City of Tecate, Mexico",,-116.658735,32.573437,Wildfire,74b94fe9-3524-40ce-ac18-ee637bf66f15,https://www.fire.ca.gov/incidents/2019/8/16/border-8-fire/,2019-08-17T14:30:00Z,2019-08-17,2019-08-16,N,TRUE,FALSE
